cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,flag
0.74875,184960686472,1.47,40440007647,425410565,51.848477387,51.426717,0.335905,272787478529,-O0
3.250756,44507940671,1.86,13619576648,414548338,12.333702908,11.947596,0.379859,82641777236,-O1
3.250958,44495687387,1.81,13536411838,420175753,12.336520756,11.991561,0.311885,81681351113,-O2
2.266747,45826290120,1.78,13549425544,447952894,17.427396302,16.437959,0.984117,81732344806,-O3
2.092439,44028308422,1.7,12496225593,425886673,19.191379425,18.01331,1.143999,74792676167,-O3  -flto -funroll-loops
0.765987,180816156624,1.5,40448363403,425342326,50.645826878,50.260259,0.363828,272044334472,-ffast-math
3.236149,44207634745,1.84,13606448072,407104368,12.397044393,12.014945,0.375966,81407409874, -ffast-math -O1
3.291937,43522633586,1.81,13303896221,403551077,12.182930706,11.836657,0.33985,78858185503,-ffast-math -O2
3.29395,43828481436,1.8,13307608844,410080925,12.173231829,11.818671,0.315909,78874045663, -ffast-math -O3
