cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,cpus_utilized,flag,data_name,size_of_matrix,percent_of_burned_cells
27.396332,167195347026,0.41,12882946602,244010805,1.909201087,48.387052,1.598178,67381064584,26.191,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/1999_27j_S,1483274,0.248829
22.620946,8884004873,0.62,1488141287,21577899,0.143460886,2.537122,0.172799,6518535898,24.226,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/1999_28,94188,0.257438
4.027463,444213446,0.79,119777340,1882289,0.019654674,0.091542,0.015622,454964741,10.274,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2000_8,8008,0.035713
2.669383,505873827,0.87,167093141,2201323,0.022960494,0.140378,0.017291,639162290,8.172,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2005_6,14161,0.015031
0.821874,199546700,0.77,40374779,1071410,0.01373392,0.0,0.0,153914746,5.234,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2005_26,2548,0.021181
24.909319,5727872227,0.55,610250633,11497742,0.072613141,1.675397,0.074081,2942420072,27.223,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2009_3,15912,0.813463
0.271938,917004752,1.03,235128352,4215172,0.044699379,0.205742,0.055171,962819856,6.689,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2011_19E,48614,0.000538
0.413667,299182969,0.96,104143823,1600055,0.02080744,0.046304,0.009002,404310419,6.108,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2011_19W,13125,0.002049
30.125485,2148751900139,0.25,66397896302,2090756921,20.354082025,641.751698,6.544941,553559116541,32.35,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2015_50,10434109,0.444847
26.840755,448724601411,0.37,28336541397,577970109,5.773225227,131.568512,2.959111,172719538019,24.018,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2021_865,4696595,0.216977
