cells_procesed_per_micro_sec,cycles,insn_per_cycle,branches,branch_misses,time_elapsed,user_time,sys_time,instructions,cpus_utilized,flag,data_name,size_of_matrix
24.323383,178215797342,0.48,17724307879,277994509,2.127431516,51.155208,1.666102,87160894296,24.115,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/1999_27j_S,1483274
21.341016,12704230079,0.69,2615564429,25752896,0.152384979,3.602977,0.206426,10541770212,26.851,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/1999_28,94188
3.762737,510272206,0.82,129856938,2019892,0.019954373,0.113851,0.026681,490524503,10.092,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2000_8,8008
2.538459,505900606,0.89,174755510,2160008,0.023248005,0.111818,0.020708,664585690,9.383,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2005_6,14161
0.888271,184311505,0.79,71705671,1058516,0.013853311,0.0,0.009361,262176623,7.246,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2005_26,2548
23.476078,6625679954,0.67,748899323,11715100,0.068574553,1.889394,0.072487,3453209366,29.108,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2009_3,15912
0.230429,939762209,1.03,271076521,4181844,0.0447531,0.195069,0.037044,1083766996,6.412,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2011_19E,48614
0.431474,256630978,1.01,121950094,1515341,0.020674366,0.0222,0.018711,464174706,7.401,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2011_19W,13125
28.813706,2128058474050,0.27,67731562888,2134103720,21.10727368,633.967089,6.977084,573015002892,31.486,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2015_50,10434109
25.866457,372760960154,0.45,30142559449,551166314,6.144967307,107.697698,3.216767,187454006567,23.007,-Ofast -march=native -funroll-loops -flto -mavx2 -fveclib=SVML,./data/2021_865,4696595
